"ID","Status","Project","Website","Product","Short_Name","Description","Access","Documentation","Version","DOI","Variables","Start","End","Region","Polygon","Released","Theme1","Theme2","Theme3","Theme4","Theme5","Theme6","EO_Missions"
1,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","http://lrsu.physics.ntua.gr/en/content/esa-livas","Climatology of aerosol optical property profiles_Global_CALIPSO_EARTHCARE","clima-aerosol-op-livas","4-year averaged profiles of aerosol optical properties (extinction and backscatter coefficients, particle depolarization ratio) at 355, 532, 1064, 1570 and 2050 nm. The products are also provided per season and per aerosol type. (Amiridis et al., ACP, 2015, https://doi.org/10.5194/acp-15-7127-2015). Horizontal resolution: 1x1 degree, Vertical resolution: Calipso L2 vertical resolution {60m between 0-20km, 120m between 20-30km}.","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,"https://doi.org/10.5194/acp-15-7127-2015","Aerosol Optical Depth","2008.01.01","2011.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2013.12.31","Atmosphere",,,,,,"CALIPSO; EARTHCARE"
2,"ONGOING","WATER CYCLE CHANGES CHARACTERISED FROM ATMOSPHERIC MOISTURE RECYCLING (WEATHER)","https://eo4society.esa.int/projects/weather/","GOSAT PBL XH2O and Stable Water Vapour Isotopologues_Global","water-vapour-isotopologues-lpf-weather","L2 product of column water vapour (XH2O) and stable isotope XHDO, partial column water vapour from the planetary boundary layer XH2O_PBL","https://archive.ceda.ac.uk/",,,,"HDO","2009.01.01","2020.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2020.09.30","Atmosphere",,,,,,"GOSAT"
3,"ONGOING","Stratospheric ozone from limb observations: validation of the profiles, evaluation of trends and their dynamical and chemical drivers (SOLVE)","https://eo4society.esa.int/projects/stratospheric-ozone-from-limb-observations-validation-of-the-profiles-evaluation-of-trends-and-their-dynamical-and-chemical-drivers-solve/","IUP-OMPS L2 and L3 limb ozone data sets_Global_S2/3","limb-ozone-lpf-solve","IUP-OMPS L2 and L3 limb ozone data sets","https://www.iup.uni-bremen.de/DataRequest/",,,,"O3 Stratospheric Column",,,"Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2013.12.30","Atmosphere",,,,,,"Sentinel-2; Sentinel-3"
4,"COMPLETED","AEOLUS+ INNOVATION - STUDIES ON WIND AND AEROSOL INFORMATION FROM LIDAR SURFACE RETURNS (SWAILS+)","https://www.knmiprojects.nl/projects/swails","Lidar Aerosol Retrieval based on Information from Surface Signal of Aeolus_Global Oceans_AEOLUS","lidar-aerosol-aeolus-swails","LARISSA will provide independent AOD estimates (from the standard L2 Aeolus product) over oceans. The resulting aerosol product from LARISSA will be beneficial for various scientific applications including: a better understanding of the wind speed dependence in off-nadir ocean surface scattering in the ultraviolet; evaluation of aerosol models, where the LARISSA-based (integrated) aerosol optical depth can be used as input for data assimilation; studies of global aerosol optical properties as LARISSA will retrieve the average column lidar ratios; support of future lidar missions with nadir and non-nadir viewing angles in the UV, i.e., the EarthCARE mission lidar ATLID.",,,,,"Aerosol Optical Depth","2018.01.01","2021.12.31","Global Oceans","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]",,"Atmosphere","Oceans",,,,,"AEOLUS"
5,"ONGOING","ConsIstent Retrieval of Cloud Aerosol Surface","http://www.circas.eu/","Radiation budget_Regional_S3","radiation-budget-circas","Radiation budget. The spatial resolution of the CIRCAS user products is 5km. The CIRCAS products are delivered in NetCDF-4 format. The NetCDF files specification follows the CF conventions [NetCDF, 2010].","ftp://ftp.brockmann-consult.de","http://www.circas.eu/index.php#results",,,O3 Stratospheric Column,"2019.01.01","2019.12.31","Regional","[[[[-100.12656677881236,35.890702742676055],[-87.55435513523395,35.890702742676055],[-87.55435513523395,48.32475821434702],[-100.12656677881236,48.32475821434702],[-100.12656677881236,35.890702742676055]]],[[[1.3928929844456683,40.21976995463572],[13.965104628024013,40.21976995463572],[13.965104628024013,52.65382542630668],[1.3928929844456683,52.65382542630668],[1.3928929844456683,40.21976995463572]]],[[[-1.4861129301941927,2.554212537672809],[11.086098713384182,2.554212537672809],[11.086098713384182,14.988268009343775],[-1.4861129301941927,14.988268009343775],[-1.4861129301941927,2.554212537672809]]],[[[126.60269122612661,-18.534809759669432],[139.17490286970542,-18.534809759669432],[139.17490286970542,-6.1007542879985275],[126.60269122612661,-6.1007542879985275],[126.60269122612661,-18.534809759669432]]],[[[-68.39472586082537,-21.812762728977],[-55.8225142172473,-21.812762728977],[-55.8225142172473,-9.37870725730608],[-68.39472586082537,-9.378707257306088],[-68.39472586082537,-21.812762728977]]],[[[123.1055724631456,55.13148371889387],[135.6777841067242,55.13148371889387],[135.6777841067242,67.56553919056476],[123.1055724631456,67.56553919056476],[123.1055724631456,55.13148371889387]]]]","2021.12.31","Atmosphere",,,,,,"Sentinel-3"
6,"COMPLETED","AlpSnow","https://alpsnow.enveo.at","Snow area extent for European Alps_Multimission","snow-area-europe-alps-alpsnow","Snow area extent for European Alps","https://alpsnow.enveo.at/publications.html","https://ieeexplore.ieee.org/document/9511108",,,Sea-ice thickness,,,"Europe","[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]",,"Cryosphere",,,,,,"MODIS; Sentinel-2; Landsat-8"
7,"COMPLETED","4DANTARCTICA","http://www.4d-antarctica.org/","Subglacial Lake Drainage and Filling_Antarctica_Multimission","subglacial-lake-drainage-4dantarctica","Repeat Subglacial Lake Drainage and Filling Beneath Thwaites Glacier","https://4d-antarctica.org/wp-content/uploads/2021/01/Malczyk_etal_2020_data_v2.tar","https://4d-antarctica.org/wp-content/uploads/2021/01/Malczyk_etal_2020_data_v2.docx","2.1","https://doi.org/10.1029/2020GL089658",Sea-ice cover,"2010.01.01","2019.12.31","Antarctica","[[[-180,-80],[180,-80],[180,-61],[-180,-61],[-180,-80]]]","2021.01.01","Cryosphere",,,,,,"CryoSat-2; SMOS; Sentinel-1; Sentinel-2; ERS-1; ERS-2; ENVISAT; AMSR-E; TanDEM-X; Landsat-8"
8,"COMPLETED","4DGreenland","https://4dgreenland.eo4cryo.dk/","Ice Sheet Surface Melt_Greenland_S-1/2","ice-sheet-surface-melt-4dgreenland","The duration and areal extent of the Greenland Ice Sheet affected by surface melt processes are important parameters for climate and cryosphere research, and key indicators of a changing Arctic climate. Melt processes have a significant impact on the surface energy budget in snow-covered areas, as wet snow has a relatively low albedo in the visible and near-infrared spectrum. Moreover, enhanced surface meltwater production has an impact on glacier motion by increasing the internal water pressure. Passive and active microwave data acquired by satellite sensors are the main data sources for products on monitoring melt extent over the ice sheets. Passive microwave data has  been widely used to map and monitor melt zones over the Greenland Ice Sheet. 4DGreenland aims at producing a consistent climate data record on the presence of liquid water and snow properties over Greenland for studying surface melt processes, along with developing methods for homogenizing melt extent products from different sensors.","https://4dgreenland.eo4cryo.dk/?page_id=48",,,,Sea-ice elevation,,,"Greenland","[[[-73.709433726,60.2878324851],[-12.713339976,60.2878324851],[-12.713339976,83.5902211563],[-73.709433726,83.5902211563],[-73.709433726,60.2878324851]]]",,"Cryosphere",,,,,,"Sentinel-1; Sentinel-2"
9,"ONGOING","Sentinel-3 Performance Improvement for ICE Sheets (SPICE)","http://www.seom-spice.org/","Ice Sheets_Antarctica_Sentinel-2 Performance Improvement_Level 1B","ice-sheet-antarctica-l1b-spice","Level-2 Ice Sheet measurements. To access data mailto:spice.info@esa.int","https://www.seom-spice.org/project-description/input-output-data/","https://www.seom-spice.org/project-description/input-output-data/",,,Sea-ice elevation,"2011.01.01","2014.12.31","Antarctica","[[[-180,-80],[180,-80],[180,-61],[-180,-61],[-180,-80]]]","2021.10.19","Cryosphere",,,,,,"CryoSat-2"
10,"COMPLETED","Development of pan-European Multi-Sensor Snow Mapping Methods Exploiting Sentinel-1","http://s14scisnow.enveo.at/","Binary wet snow extent products","binary-wet snow-s14science-snow","Binary wet snow extent products were generated from Sentinel-1 data with 100 m grid spacing for snow areas with more than 70% fractional snow cover classified in the cloud gap filled fractional snow cover map of the same acquisition date from MODIS data. Forested areas and water bodies are masked in the wet snow products. These products were generated per track. Further, the binary wet snow maps from single tracks per day were merged to cover larger regions: Alps, Scandinavia, Pan-European domain. Product Access: Multi-sensor snowmelt extent products are stored as a zip file (“tracks_all.zip”) at ftp.enveo.at. User: ftp30, password will be provided by the PI on request. PI: Thomas Nagler, ENVEO IT GmbH, email: thomas.nagler@enveo.at","ftp.enveo.at",,,,"Snow status (wet/dry)","2017.01.01","2018.12.31","Europe",,"2018.12.31","Cryosphere",,,,,,"Sentinel-1; Sentinel-2; Sentinel-3"
