ID,Status,Project,Website,Product,Description,Access,Documentation,Version,DOI,Variable,Start,End,Region,Polygon,Released,Theme1,Theme2,Theme3,Theme4,Theme5,Theme6,EO_Missions
1,COMPLETED,3D-Earth,http://www.3dearth.uni-kiel.de/en,Geothermal Heat Flow Database and Map_Greenland_GOCE_SWARM,Greenland Geothermal Heat Flow Database and Map,https://dataverse01.geus.dk/dataset.xhtml?persistentId=doi:10.22008/FK2/F9P03L,,,https://doi.org/10.22008/FK2/F9P03L,Sub-ice heat-flux,,,Arctic,"[[[-178.4105321808,60.6134006095],[178.3660428163,60.6134006095],[178.3660428163,84.2454100786],[-178.4105321808,84.2454100786],[-178.4105321808,60.6134006095]]]",2021-08-26 00:00:00,Solid Earth,,,,,,GOCE; Swarm
2,COMPLETED,3D-Earth,http://www.3dearth.uni-kiel.de/en,Global Model of Crust and Upper Mantle_WINTERC-G_GOCE,Global model of crust and upper mantle,https://drive.google.com/drive/folders/1bmwEpPm4Jj83legXuhmPB-EJ7oz5hKag?usp=sharing,,,,Sub-ice heat-flux,,,Global,"[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]",2021-03-10 00:00:00,Solid Earth,,,,,,GOCE
3,COMPLETED,4DANTARCTICA,http://www.4d-antarctica.org/,Subglacial Lake Drainage and Filling_Antarctica_Multimission,Repeat Subglacial Lake Drainage and Filling Beneath Thwaites Glacier,https://4d-antarctica.org/wp-content/uploads/2021/01/Malczyk_etal_2020_data_v2.tar,,,https://doi.org/10.1029/2020GL089658,Ice sheets and ice shelves,2010.0,2019.0,Antarctica,"[[[-180,-80],[180,-80],[180,-61],[-180,-61],[-180,-80]]]",2021-01-01 00:00:00,Cryosphere,,,,,,CryoSat-2; SMOS; Sentinel-1; Sentinel-2; ERS-1; ERS-2; ENVISAT; AMSR-E; TanDEM-X; Landsat
4,Planned,4DGreenland,https://4dgreenland.eo4cryo.dk/,Ice Sheet Surface Melt_Greenland_S-1/2,"The duration and areal extent of the Greenland Ice Sheet affected by surface melt processes are important parameters for climate and cryosphere research, and key indicators of a changing Arctic climate. Melt processes have a significant impact on the surface energy budget in snow-covered areas, as wet snow has a relatively low albedo in the visible and near-infrared spectrum. Moreover, enhanced surface meltwater production has an impact on glacier motion by increasing the internal water pressure. Passive and active microwave data acquired by satellite sensors are the main data sources for products on monitoring melt extent over the ice sheets. Passive microwave data has  been widely used to map and monitor melt zones over the Greenland Ice Sheet. 4DGreenland aims at producing a consistent climate data record on the presence of liquid water and snow properties over Greenland for studying surface melt processes, along with developing methods for homogenizing melt extent products from different sensors. ",https://4dgreenland.eo4cryo.dk/?page_id=48,,,,Ice sheets and ice shelves,,,Greenland,"[[[-73.709433726,60.2878324851],[-12.713339976,60.2878324851],[-12.713339976,83.5902211563],[-73.709433726,83.5902211563],[-73.709433726,60.2878324851]]]",Planned,Cryosphere,,,,,,Sentinel-1; Sentinel-2
5,Planned,4DGreenland,https://4dgreenland.eo4cryo.dk/,Extent and volume of hydrological surface features_Greenland_S1/2,"On the surface of the Greenland Ice Sheet, meltwater streams, rivers, and lakes constitute a complex and interrelated hydrological network. Rain and meltwater formed on the glacier surface either refreezes in the snowpack is transported as surface runoff to the ocean or enters the englacial and subglacial environments through moulins and crevasses. Moulins develop by hydrofracture and establishes conduits for face-to-bed meltwater transport. This enables surface water to reach the base of the ice sheet, thereby possibly enhancing the ice flow by basal lubrication. An important feature of these open water surfaces at the ice sheet surface is that they alter the surface energy budget through the ice-albedo feedback. The low albedo of liquid water increases the absorption of incoming radiation, which in turn increases melt rates. The low reflectivity and a clear spectral signature in optical wavelengths enable open water features to be discriminated from the ambient ice through optical imagery. 4DGreenland aims at investigating the extent and volume of hydrological surface features with a high temporal resolution covering 2010-present.",https://4dgreenland.eo4cryo.dk/?page_id=49,,,,Ice sheets and ice shelves,2010.0,2020.0,Greenland,"[[[-73.709433726,60.2878324851],[-12.713339976,60.2878324851],[-12.713339976,83.5902211563],[-73.709433726,83.5902211563],[-73.709433726,60.2878324851]]]",Planned,Cryosphere,,,,,,Sentinel-1; Sentinel-2
6,Planned,4DGreenland,https://4dgreenland.eo4cryo.dk/,Ice Sheet subglacial hydrology_Greenland_S1/2,"The movement of glaciers and ice sheets is determined by several factors, with subglacial hydrology playing a major role. Liquid water can enhance ice-sheet flow velocities by basal lubrication and add heat to the ice by cryo-hydrologic warming. The faster motion of the ice sheet induced by basal lubrication will increase frictional heating, leading to a likewise increase in melting, initiating a positive feedback mechanism. Thus, the subglacial hydrology is of great interest. However, basal melt under the Greenland Ice Sheet is inherently difficult to quantify and has been measured directly in only a very few locations (e.g., at ice-core drill sites). Most of our knowledge of basal melt stems from inferred values based on, for example, ice-penetrating radar with reported values spanning orders of magnitude. Progress has been made in distinguishing between wet and frozen conditions at the bed, yet significant disagreement still exists between models and observations, and between different models.  This is problematic because the basal mass budget of Greenland thus remains largely unconstrained. In the 4DGreenland subglacial activity, we will explore the use of Earth Observation datasets for deriving information on the subglacial hydrology to gain insights into its temporal and spatial variations and characteristics. Assessing the ice-sheet scale geothermal heat sources is an essential product hereof.",https://4dgreenland.eo4cryo.dk/?page_id=50,,,,Ice sheets and ice shelves,,,Greenland,"[[[-73.709433726,60.2878324851],[-12.713339976,60.2878324851],[-12.713339976,83.5902211563],[-73.709433726,83.5902211563],[-73.709433726,60.2878324851]]]",Planned,Cryosphere,,,,,,Sentinel-1; Sentinel-2
7,Planned,4DIONOSPHERE (SWARM VIP),https://www.mn.uio.no/fysikk/english/research/projects/swarm-vip/,Semi-empiric model of ionosphere processes_SWARM,"Semi-empiric model and improvement of the forecasting capabilities for extreme space weather events. Swarm-VIP project performs extensive and complex statistical analysis on Swarm electron density, electric and magnetic field data focusing on: 1) the ionospheric climate/weather during quiet geomagnetic conditions; 2) the extreme events such as geomagnetic storms / superstorms and 3) the physics of ionospheric perturbations and small-scale variability. Currently the access to the results is restricted. If you would like to gain access, please contact Lasse Clausen (http://www.mn.uio.no/fysikk/english/people/aca/lbnc/) or Wojciech Miloch (http://www.mn.uio.no/fysikk/english/people/aca/wojciecm/index.html).",,,,,Space Weather,,,,,Planned,Magnetosphere_Ionosphere,,,,,,SWARM
8,Planned,AEOLUS+ INNOVATION - CDOM-PROXY RETRIEVAL FROM AEOLUS OBSERVATIONS (COLOR),http://ricerca.ismar.cnr.it/color/,Diffuse attenuation: Kd_Global_AEOLUS,in-water diffuse attenuation coefficient for downwelling irradiance [m-1],,,,,Ocean colour,,,Global,"[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]",Planned,Oceans,,,,,,AEOLUS
9,Planned,AEOLUS+ INNOVATION - CDOM-PROXY RETRIEVAL FROM AEOLUS OBSERVATIONS (COLOR),http://ricerca.ismar.cnr.it/color/,Particulate backscatter: bbp_Global_AEOLUS,Sub-surface (in-water) hemispheric particulate backscatter coefficient [m-1],,,,,Ocean colour,,,Global,"[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]",Planned,Oceans,,,,,,AEOLUS
10,Planned,AEOLUS+ INNOVATION - CDOM-PROXY RETRIEVAL FROM AEOLUS OBSERVATIONS (COLOR),http://ricerca.ismar.cnr.it/color/,Chromophoric Dissolved Organic Matter (CDOM) absorption_Global_AEOLUS,Fraction of the Dissolved Organic Matter (DOM) that absorbs solar radiation [m-1],,,,,Ocean colour,,,Global,"[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]",Planned,Oceans,,,,,,AEOLUS
11,Planned,AEOLUS+ INNOVATION - STUDIES ON WIND AND AEROSOL INFORMATION FROM LIDAR SURFACE RETURNS (SWAILS+),https://www.knmiprojects.nl/projects/swails,Lidar Aerosol Retrieval based on Information from Surface Signal of Aeolus_Global Oceans_AEOLUS,"LARISSA will provide independent AOD estimates (from the standard L2 Aeolus product) over oceans. The resulting aerosol product from LARISSA will be beneficial for various scientific applications including: a better understanding of the wind speed dependence in off-nadir ocean surface scattering in the ultraviolet; evaluation of aerosol models, where the LARISSA-based (integrated) aerosol optical depth can be used as input for data assimilation; studies of global aerosol optical properties as LARISSA will retrieve the average column lidar ratios; support of future lidar missions with nadir and non-nadir viewing angles in the UV, i.e., the EarthCARE mission lidar ATLID.",,,,,Aerosols,2018.0,2021.0,Global Oceans,"[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]",Planned,Atmosphere,Oceans,,,,,AEOLUS
12,ONGOING,ALBIOM (ALtimetry for BIOMass),https://eo4society.esa.int/projects/albiom/,Prototype biomass product using Sentinel-3 altimetry_Africa_S3,"Prototype biomass estimation over specific areas, especially over tropical forests and boreal forests. Product details are provided in: Davide Comite, Nazzareno Pierdicca, Maria-Paola Clarizia, Giuseppina De Felice-Proia, Leila Guerriero, Marco Restano, and Jerome Benveniste ""Biomass Estimation by Means of Sentinel-3 Data: A Sensitivity Analysis"", Proc. SPIE 11861, Microwave Remote Sensing: Data Processing and Applications, 1186104 (12 September 2021); https://doi.org/10.1117/12.2600230 https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11861/2600230/Biomass-Estimation-by-Means-of-Sentinel-3-Data--A/10.1117/12.2600230.full",https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11861/2600230/Biomass-Estimation-by-Means-of-Sentinel-3-Data--A/10.1117/12.2600230.full,,,,Biomass,2017.0,2017.0,Africa,"[[[-17.8563289572,-34.4708447326],[52.1929288951,-34.4708447326],[52.1929288951,36.9355756202],[-17.8563289572,36.9355756202],[-17.8563289572,-34.4708447326]]]",2021-12-31 00:00:00,Land,,,,,,Sentinel-3
13,Planned,AlpGlacier,https://alpglacier.geo.uzh.ch/,Snow cover on glaciers_SwissAlps_S1/2,"Snow cover on glaciers. Most of the database has been submitted to Pangaea, where the submission is being processed. Some parts of the database fall under the copyright of the Swiss national institute for topography and were therefore only provided as point shapefiles instead of polygons. All the necessary information to reconstruct the study are provided.",https://alpglacier.geo.uzh.ch/index.html,https://onlinelibrary.wiley.com/doi/10.1002/esp.5193,,,Glaciers,2016.0,2016.0,Switzerland,"[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]",Planned,Cryosphere,,,,,,Sentinel-1; Sentinel-2
14,Planned,AlpGlacier,https://alpglacier.geo.uzh.ch/,Glacier surface flow velocity_SwissAlps_S1/2,"Glacier surface flow velocity. Most of the database has been submitted to Pangaea, where the submission is being processed. Some parts of the database fall under the copyright of the Swiss national institute for topography and were therefore only provided as point shapefiles instead of polygons. All the necessary information to reconstruct the study are provided.",https://alpglacier.geo.uzh.ch/index.html,https://onlinelibrary.wiley.com/doi/10.1002/esp.5194,,,Glaciers,2016.0,2016.0,Switzerland,"[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]",Planned,Cryosphere,,,,,,Sentinel-1; Sentinel-2
15,Planned,AlpGlacier,https://alpglacier.geo.uzh.ch/,Dynamics of glacier lakes_SwissAlps_S1/2,"Dynamics of glacier lakes. Most of the database has been submitted to Pangaea, where the submission is being processed. Some parts of the database fall under the copyright of the Swiss national institute for topography and were therefore only provided as point shapefiles instead of polygons. All the necessary information to reconstruct the study are provided.",https://alpglacier.geo.uzh.ch/index.html,https://onlinelibrary.wiley.com/doi/10.1002/esp.5195,,,Glaciers,2016.0,2016.0,Switzerland,"[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]",Planned,Cryosphere,,,,,,Sentinel-1; Sentinel-2
16,Planned,AlpGlacier,https://alpglacier.geo.uzh.ch/,Slope instabilities in glacier forefields_SwissAlps_S1/2,"Slope instabilities in glacier forefields. Most of the database has been submitted to Pangaea, where the submission is being processed. Some parts of the database fall under the copyright of the Swiss national institute for topography and were therefore only provided as point shapefiles instead of polygons. All the necessary information to reconstruct the study are provided.",https://alpglacier.geo.uzh.ch/index.html,https://onlinelibrary.wiley.com/doi/10.1002/esp.5196,,,Glaciers,2016.0,2016.0,Switzerland,"[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]",Planned,Cryosphere,,,,,,Sentinel-1; Sentinel-2
17,Planned,AlpSnow,https://alpsnow.enveo.at,Snow area extent for European Alps_Multimission,Snow area extent for European Alps,https://alpsnow.enveo.at/publications.html,https://ieeexplore.ieee.org/document/9511108,,,Snow,,,Europe,"[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]",Planned,Cryosphere,,,,,,MODIS; Sentinel-2; Landsat-8
18,Planned,AlpSnow,https://alpsnow.enveo.at,Snow albedo for European Alps_Multimission,Snow albedo for European Alps,https://alpsnow.enveo.at/publications.html,https://ieeexplore.ieee.org/document/9511109,,,Snow,,,Europe,"[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]",Planned,Cryosphere,,,,,,MODIS; Sentinel-2; Landsat-8
19,Planned,AlpSnow,https://alpsnow.enveo.at,Snow water equivalent for European Alps_Multimission,Snow water equivalent for European Alps,https://alpsnow.enveo.at/publications.html,https://ieeexplore.ieee.org/document/9511110,,,Snow,,,Europe,"[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]",Planned,Cryosphere,,,,,,MODIS; Sentinel-2; Landsat-8
20,Planned,AlpSnow,https://alpsnow.enveo.at,Snow depth for European Alps_Multimission,Snow depth for European Alps,https://alpsnow.enveo.at/publications.html,https://ieeexplore.ieee.org/document/9511111,,,Snow,,,Europe,"[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]",Planned,Cryosphere,,,,,,MODIS; Sentinel-2; Landsat-8
21,Planned,AlpSnow,https://alpsnow.enveo.at,Snow grain size for European Alps_Multimission,Snow grain size for European Alps,https://alpsnow.enveo.at/publications.html,https://ieeexplore.ieee.org/document/9511112,,,Snow,,,Europe,"[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]",Planned,Cryosphere,,,,,,MODIS; Sentinel-2; Landsat-8
22,Planned,AlpSnow,https://alpsnow.enveo.at,Snow liquid water content (wet snow) for European Alps_Multimission,Snow liquid water content (wet snow) for European Alps,https://alpsnow.enveo.at/publications.html,https://ieeexplore.ieee.org/document/9511113,,,Snow,,,Europe,"[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]",Planned,Cryosphere,,,,,,MODIS; Sentinel-2; Landsat-8
23,COMPLETED,AnREO: Retrieval of Total Ozone using OLCI-S-3 over Antarctica,https://www.vitrocisetbelgium.com/news/retrieval-total-ozone-over-antarctica-using-ocean-and-land-colour-instrument-board-sentinel,Total ozone product from OLCI / S-3_Antarctica _S3,"The total ozone column (TOC) is derived by the team using the top-of-atmosphere measurements of the Ocean and Land Colour Instrument (OLCI) on board Sentinel-3 A/B. OLCI operates in the spectral range 400-1020nm. The TOC has been derived using Sentinel-3 OLCI Level 1 product at full resolution (300m). This is the first attempt to derive the total ozone column at such high spatial resolution. The team also created a cloud mask, a snow mask and an atmospheric correction procedure.The OLCI ozone processor is planned to be delivered to ESA in April 2021 providing the ozone research community with a total ozone product from OLCI / S-3 in Antarctica and also over other snow-covered areas including Greenland. ",https://www.vitrocisetbelgium.com/news/retrieval-total-ozone-over-antarctica-using-ocean-and-land-colour-instrument-board-sentinel,https://www.sciencedirect.com/science/article/abs/pii/S0022407321003952?via%3Dihub; https://eo4society.esa.int/wp-content/uploads/2021/05/AnREO_Final-Report.pdf,,https://doi.org/10.1016/j.jqsrt.2021.107903,Ozone,2019.0,2020.0,Antarctica,"[[[-180,-83],[180,-83],[180,-60],[-180,-60],[-180,-83]]]",2021-12-01 00:00:00,Atmosphere,,,,,,Sentinel-3
24,COMPLETED,Arctic + Salinity,http://arcticsalinity.argans.co.uk,Sea Surface Salinity L2 orbits and L3 maps (V.3.1) _Arctic_SMOS,"Arctic sea surface salinity retrieved from SMOS, spatial resolution 0.25 deg (EASE grid 2.0), temporal resolution 9-day maps generated daily. The product contains the following data: i) sea surface salinity (p.s.u), ii) sea surface salinity uncertainty (p.s.u), and iii) sea surface salinity anomaly (p.s.u) : difference between sea surface salinity provided by SSS field and the annual sea surface salinity provided by WOA 2018 A5B7. Product version 3.1.  The product will be freely distributed at the BEC webpage http://bec.icm.csic.es and at the project webpage https://arcticsalinity.argans.co.uk. ",https://digital.csic.es/handle/10261/219679,https://arcticsalinity.argans.co.uk/documentation/,3.1,https://doi.org/10.20350/digitalCSIC/12620,Sea surface salinity,2011.0,2019.0,Arctic,"[[[-178.4105321808,60.6134006095],[178.3660428163,60.6134006095],[178.3660428163,84.2454100786],[-178.4105321808,84.2454100786],[-178.4105321808,60.6134006095]]]",2021-01-21 00:00:00,Oceans,Cryosphere,,,,,SMOS
25,COMPLETED,ARCTIC+ THEME 3 – FRESH WATER FLUXES,https://eo4society.esa.int/projects/arctic-theme-3-fresh-water-fluxes-arcflux/,Ocean freshwater fluxes_Arctic_Multimission,Estimates of these four freshwater fluxes: discharge from rivers; inflow through ice and melt run off; outflow of freshwater in sea ice; and in/outflow of freshwater through ocean currents.,https://link.springer.com/chapter/10.1007%2F1345_2019_75,,,DOI: 10.1007/1345_2019_75,Fresh water fluxes,2014.0,2017.0,Arctic,"[[[-178.4105321808,60.6134006095],[178.3660428163,60.6134006095],[178.3660428163,84.2454100786],[-178.4105321808,84.2454100786],[-178.4105321808,60.6134006095]]]",2019-07-17 00:00:00,Cryosphere,,,,,,Sentinel-1; Sentinel-2; Sentinel-3; Cryosat-2; ICESat; GRACE; SMOS; ENVISAT; ERS-1; ERS-2; SARAL/ALtiKa; Jason-1; Jason-2
26,COMPLETED,ArcticSummIT: Arctic Summer Ice Thickness,https://eo4society.esa.int/projects/arcticsummit-arctic-summer-ice-thickness/,Sea ice and physical oceanography_Arctic_CryoSat-2 Baseline-C Level 1b waveform observations,"This dataset presents monthly gridded sea ice and ocean parameters for the Arctic derived from the European Space Agency's satellite CryoSat-2. Parameters include sea ice freeboard, sea ice thickness, sea ice surface roughness, mean sea surface height, sea level anomaly, and geostrophic circulation.",https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/01257,,,,Sea ice thickness,2021.0,2021.0,Arctic,"[[[-178.4105321808,60.6134006095],[178.3660428163,60.6134006095],[178.3660428163,84.2454100786],[-178.4105321808,84.2454100786],[-178.4105321808,60.6134006095]]]",2019-11-14 00:00:00,Cryosphere,,,,,,CryoSat-2
27,COMPLETED,BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU),https://www.bgu.tum.de/iapg/baltic/,PTA-RES: Extracted Target Locations_Baltics_Multimission,The files contain the extracted target range and azimuth location(s) from point target analysis. Multiple targets may be summarized in one file as noted by the header. Data blocks are repeated for each target. Product details available at: https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-HSU-TN-0019_Dataset_User_Manual.pdf,https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/PTA-RES.zip,,,,Sea Level,2020.0,2020.0,Baltics,"[[[9.0405918788,53.8666553578],[31.3371258934,53.8666553578],[31.3371258934,66.1535071282],[9.0405918788,66.1535071282],[9.0405918788,53.8666553578]]]",2021-07-07 00:00:00,Oceans,,,,,,GOCE; Sentinel-1; GPS; GLONAS
28,COMPLETED,BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU),https://www.bgu.tum.de/iapg/baltic/,SAR-OBS: SAR Observation Solution_Baltics_Multimission,"Time series of range and azimuth standard deviations σr and σa, provided by the variance component estimation and observation residuals. Product details available at: https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-HSU-TN-0019_Dataset_User_Manual.pdf",https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-OBS.zip,,,,Sea Level,2020.0,2020.0,Baltics,"[[[9.0405918788,53.8666553578],[31.3371258934,53.8666553578],[31.3371258934,66.1535071282],[9.0405918788,66.1535071282],[9.0405918788,53.8666553578]]]",2021-07-07 00:00:00,Oceans,,,,,,GOCE; Sentinel-1; GPS; GLONAS
29,COMPLETED,BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU),https://www.bgu.tum.de/iapg/baltic/,SAR-POS: SAR Positioning Solution_Baltics_Multimission,"Time series of coordinates of the SAR target as X, Y, Z coordinates in the ITRF2014 and uncertainties σX,σY,σZ,σXY,σXZ,σYZ, derived from the variance-covariance matrix. Confidence ellipsoid from eigenvalue and eigenvector decomposition of the variance-covariance-matrix scaled to a 95% confidence level. In case external reference coordinates for the same target are also available (e.g. from a terrestrial survey), the ΔXx,y,z coordinate differences are computed. Product details available at: https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-HSU-TN-0019_Dataset_User_Manual.pdf",https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-POS.zip,,,,Sea Level,2020.0,2020.0,Baltics,"[[[9.0405918788,53.8666553578],[31.3371258934,53.8666553578],[31.3371258934,66.1535071282],[9.0405918788,66.1535071282],[9.0405918788,53.8666553578]]]",2021-07-07 00:00:00,Oceans,,,,,,GOCE; Sentinel-1; GPS; GLONAS
30,COMPLETED,BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU),https://www.bgu.tum.de/iapg/baltic/,SL-ABS: Absolute Sea Level Heights_Baltics_Multimission,Time series of absolute sea level heights of tide gauge stations involved in the project BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU). Product details available at: https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-HSU-TN-0019_Dataset_User_Manual.pdf,https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SL-ABS.zip,,,,Sea Level,2020.0,2020.0,Baltics,"[[[9.0405918788,53.8666553578],[31.3371258934,53.8666553578],[31.3371258934,66.1535071282],[9.0405918788,66.1535071282],[9.0405918788,53.8666553578]]]",2021-07-07 00:00:00,Oceans,,,,,,GOCE; Sentinel-1; GPS; GLONAS
31,COMPLETED,BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU),https://www.bgu.tum.de/iapg/baltic/,TG-HGT: Tide Gauge Heights_Baltics_Multimission,Time series of unified physical heights of tide gauge stations. Product details available at: https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-HSU-TN-0019_Dataset_User_Manual.pdf,https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/TG-HGT.zip,,,,Sea Level,2020.0,2020.0,Baltics,"[[[9.0405918788,53.8666553578],[31.3371258934,53.8666553578],[31.3371258934,66.1535071282],[9.0405918788,66.1535071282],[9.0405918788,53.8666553578]]]",2021-07-07 00:00:00,Oceans,,,,,,GOCE; Sentinel-1; GPS; GLONAS
32,COMPLETED,BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU),https://www.bgu.tum.de/iapg/baltic/,TG-SSH: Corrected Sea Surface Height at Tide Gauge Stations_Baltics_Multimission,Time series of corrected sea surface heights observed at tide gauges with respect to the tide gauge benchmark with hourly temporal resolution. Product details available at: https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-HSU-TN-0019_Dataset_User_Manual.pdf,https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/TG-SSH.zip,,,,Sea Level,2020.0,2020.0,Baltics,"[[[9.0405918788,53.8666553578],[31.3371258934,53.8666553578],[31.3371258934,66.1535071282],[9.0405918788,66.1535071282],[9.0405918788,53.8666553578]]]",2021-07-07 00:00:00,Oceans,,,,,,GOCE; Sentinel-1; GPS; GLONAS
33,COMPLETED,BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU),https://www.bgu.tum.de/iapg/baltic/,PTA-OBS: SAR Raw Measurements_Baltics_Multimission,"The observation file is generated from the point target analysis file (PTA-RES). Processor specific corrections are applied to range and azimuth during file generation, representing the raw SAR measurements. Multiple targets may be summarized in one file. Data blocks for different targets are placed side by side organized by dates. If a target is unavailable or detected an outlier (low SCR), the entries are set to 9. Note on SWST: differential corrections are applied if the SWST became updated in the S-1 SAR processor, i.e. range measurements based on previous configurations are corrected in order to match the latest value applied in processing. Product details available at: https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-HSU-TN-0019_Dataset_User_Manual.pdf",https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/PTA-OBS.zip,,,,Sea Level,2020.0,2020.0,Baltics,"[[[9.0405918788,53.8666553578],[31.3371258934,53.8666553578],[31.3371258934,66.1535071282],[9.0405918788,66.1535071282],[9.0405918788,53.8666553578]]]",2021-07-07 00:00:00,Oceans,,,,,,GOCE; Sentinel-1; GPS; GLONAS
