"ID","Status","Project","Website","Product","Description","Access","Documentation","Version","DOI","Variable","Start","End","Region","Polygon","Released","Theme1","Theme2","Theme3","Theme4","Theme5","Theme6","EO_Missions"
78,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","http://lrsu.physics.ntua.gr/en/content/esa-livas","Climatology of aerosol optical property profiles_Global_CALIPSO_EARTHCARE","4-year averaged profiles of aerosol optical properties (extinction and backscatter coefficients, particle depolarization ratio) at 355, 532, 1064, 1570 and 2050 nm. The products are also provided per season and per aerosol type. (Amiridis et al., ACP, 2015, https://doi.org/10.5194/acp-15-7127-2015). Horizontal resolution: 1x1 degree, Vertical resolution: Calipso L2 vertical resolution {60m between 0-20km, 120m between 20-30km}.","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,"https://doi.org/10.5194/acp-15-7127-2015","Aerosol Optical Depth","2008.01.01","2011.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2013.12.31","Atmosphere",,,,,,"CALIPSO; EARTHCARE"
79,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","http://lrsu.physics.ntua.gr/en/content/esa-livas","Climatology of aerosol optical depth (AOD)_Global_CALIPSO_EARTHCARE","4-year averaged AOD at 355, 532, 1064, 1570 and 2050 nm. The products are also provided per season and per aerosol type. (Amiridis et al., ACP, 2015, https://doi.org/10.5194/acp-15-7127-2015). Horizontal resolution: 1x1 degree, Vertical resolution: Calipso L2 vertical resolution {60m between 0-20km, 120m between 20-30km}","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,"https://doi.org/10.5194/acp-15-7127-2015","Aerosol Optical Depth","2008.01.01","2011.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2014.01.01","Atmosphere",,,,,,"CALIPSO; EARTHCARE"
80,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","http://lrsu.physics.ntua.gr/en/content/esa-livas","Climatology of cloud optical property profiles_Global_CALIPSO_EARTHCARE","4-year averaged profiles of cloud optical properties (extinction and backscatter coefficients, particle depolarization ratio) at 532 nm. The products are also provided per season and per cloud type. (Amiridis et al., ACP, 2015, https://doi.org/10.5194/acp-15-7127-2015)","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,"https://doi.org/10.5194/acp-15-7127-2015","Clouds","2008.01.01","2011.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2014.01.01","Atmosphere",,,,,,"CALIPSO; EARTHCARE"
81,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","http://lrsu.physics.ntua.gr/en/content/esa-livas","Climatology of cloud optical depth_Global_CALIPSO_EARTHCARE","4-year averaged cloud optical depth at 532 nm. The products are also provided per season and per cloud type. (Amiridis et al., ACP, 2015, https://doi.org/10.5194/acp-15-7127-2015). Horizontal resolution: 1x1 degree, Vertical resolution: Calipso L2 vertical resolution {60m between 0-20km, 120m between 20-30km}. Horizontal resolution: 1x1 degree, Vertical resolution: Calipso L2 vertical resolution {60m between 0-20km, 120m between 20-30km}","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,"https://doi.org/10.5194/acp-15-7127-2015","Clouds","2008.01.01","2011.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2014.01.01","Atmosphere",,,,,,"CALIPSO; EARTHCARE"
82,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","http://lrsu.physics.ntua.gr/en/content/esa-livas","Climatology of stratospheric aerosol and cloud optical property profiles_Global_CALIPSO_EARTHCARE","4-year averaged profiles of stratospheric aerosol and cloud optical properties (extinction and backscatter coefficients, particle depolarization ratio) at 355, 532, 1064, 1570 and 2050 nm. The products are also provided per season. (Amiridis et al., ACP, 2015, https://doi.org/10.5194/acp-15-7127-2015). Horizontal resolution: 1x1 degree, Vertical resolution: Calipso L2 vertical resolution {60m between 0-20km, 120m between 20-30km}","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,"https://doi.org/10.5194/acp-15-7127-2015","Aerosol Optical Depth","2008.01.01","2011.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2014.01.01","Atmosphere",,,,,,"CALIPSO; EARTHCARE"
83,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","http://lrsu.physics.ntua.gr/en/content/esa-livas","Climatology of stratospheric aerosol and cloud optical depth_Global_CALIPSO_EARTHCARE","4-year averaged stratospheric aerosol and cloud optical depth at 355, 532, 1064, 1570 and 2050 nm. The products are also provided per season. (Amiridis et al., ACP, 2015, https://doi.org/10.5194/acp-15-7127-2015). Horizontal resolution: 1x1 degree, Vertical resolution: Calipso L2 vertical resolution {60m between 0-20km, 120m between 20-30km}","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,"https://doi.org/10.5194/acp-15-7127-2015","Aerosol Optical Depth","2008.01.01","2011.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2014.01.01","Atmosphere",,,,,,"CALIPSO; EARTHCARE"
84,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","http://lrsu.physics.ntua.gr/en/content/esa-livas","Dust optical depth (DOD) of dust layers_Global_CALIPSO","DOD of dust layers at 532 and layer boundaries, for all CALIPSO overpasses. The product is based on CALIPSO L2 products and Earlinet dust separation method (described in Marinou et al. ACP, 2017). The products are provided for all CALIPSO overpasses, with horizontal resolution: 1x1 degree","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,,"Aerosol Optical Depth","2007.01.01","2015.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2016.01.01","Atmosphere",,,,,,"CALIPSO"
85,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","http://lrsu.physics.ntua.gr/en/content/esa-livas","Aerosol and Dust aerosol optical property profiles_Dust concentration profiles_cloud-relevant dust number concentrations profiles_Global_CALIPSO","Aerosol (and dust aerosol) optical property profiles (extinction and backscatter coefficients, particle depolarization ratio) at 532 nm. Dust mass concentration and cloud-relevant dust number concentration profiles (based on Marinou et al. ACP (2017), Marinou et al. ACP (2019) and Ansmann et al., AMT (2019)). The products are provided for all CALIPSO overpasses, with horizontal resolution: 1x1 degree","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,,"Aerosol Optical Depth","2006.01.01","2021.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.01.01","Atmosphere",,,,,,"CALIPSO"
86,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","http://lrsu.physics.ntua.gr/en/content/esa-livas","Aerosol (and dust aerosol) optical depth_Global_CALIPSO","Aerosol (and dust aerosol) optical depth at 532 nm. The products are provided for all CALIPSO overpasses, using the CALIPSO L2 aerosol product horizontal resolution of 5km.","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,,"Aerosol Optical Depth","2006.01.01","2021.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.01.01","Atmosphere",,,,,,"CALIPSO"
87,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","http://lrsu.physics.ntua.gr/en/content/esa-livas","Cloud optical property profiles_Global_CALIPSO","Cloud optical property profiles (extinction and backscatter coefficients, particle depolarization ratio) at 532 nm. The products are provided for all CALIPSO overpasses, using the CALIPSO L2 aerosol product horizontal resolution of 5km.","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,,"Cloud optical depth","2006.01.01","2021.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.01.01","Atmosphere",,,,,,"CALIPSO"
